external_tx_id,user_ref,occurred_at,amount,direction,category,description,currency
SYN-LARGE-00001,syn-user-0058,2025-01-13T13:08:47Z,11726.14,credit,Other Income,Other Income transaction,LKR
SYN-LARGE-00002,syn-user-0053,2025-12-13T19:02:01Z,10563.68,debit,Travel,Travel expense,LKR
SYN-LARGE-00003,syn-user-0048,2025-04-22T12:45:41Z,3627.78,debit,Debt,Debt expense,LKR
SYN-LARGE-00004,syn-user-0280,2025-08-03T06:48:51Z,14323.11,debit,Debt,Debt expense,LKR
SYN-LARGE-00005,syn-user-0082,2025-12-24T16:06:05Z,4096.17,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00006,syn-user-0195,2025-02-19T07:46:29Z,27643.20,debit,Shopping,Shopping expense,LKR
SYN-LARGE-00007,syn-user-0275,2025-03-05T15:53:40Z,3285.21,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00008,syn-user-0186,2025-10-23T13:49:18Z,68518.19,credit,Salary,Salary transaction,LKR
SYN-LARGE-00009,syn-user-0041,2025-04-30T17:10:23Z,9061.23,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00010,syn-user-0182,2025-04-18T11:34:46Z,53602.65,debit,Savings,Savings expense,LKR
SYN-LARGE-00011,syn-user-0126,2025-03-25T13:43:20Z,21777.90,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00012,syn-user-0029,2025-04-28T08:13:58Z,18771.02,debit,Shopping,Shopping expense,LKR
SYN-LARGE-00013,syn-user-0291,2026-01-03T20:09:16Z,42442.34,debit,Savings,Savings expense,LKR
SYN-LARGE-00014,syn-user-0072,2025-05-07T19:57:37Z,25858.52,debit,Travel,Travel expense,LKR
SYN-LARGE-00015,syn-user-0205,2025-07-05T08:48:03Z,63595.52,credit,Freelance,Freelance transaction,LKR
SYN-LARGE-00016,syn-user-0057,2025-03-20T08:24:24Z,36662.00,debit,Savings,Savings expense,LKR
SYN-LARGE-00017,syn-user-0240,2025-09-28T06:43:46Z,77887.83,debit,Travel,Travel expense,LKR
SYN-LARGE-00018,syn-user-0059,2025-12-16T16:07:18Z,17094.29,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00019,syn-user-0223,2025-03-22T11:32:58Z,21404.03,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00020,syn-user-0055,2025-11-17T22:38:12Z,84958.59,credit,Bonus,Bonus transaction,LKR
SYN-LARGE-00021,syn-user-0079,2025-07-11T22:58:00Z,85954.48,debit,Travel,Travel expense,LKR
SYN-LARGE-00022,syn-user-0166,2025-09-08T15:15:03Z,88478.58,credit,Bonus,Bonus transaction,LKR
SYN-LARGE-00023,syn-user-0124,2025-10-18T08:48:34Z,21297.69,debit,Food,Food expense,LKR
SYN-LARGE-00024,syn-user-0065,2025-03-07T22:55:38Z,17366.05,debit,Travel,Travel expense,LKR
SYN-LARGE-00025,syn-user-0217,2025-04-19T18:42:41Z,9072.08,debit,Utilities,Utilities expense,LKR
SYN-LARGE-00026,syn-user-0192,2025-08-13T13:04:21Z,5719.16,debit,Education,Education expense,LKR
SYN-LARGE-00027,syn-user-0011,2025-10-29T08:45:40Z,11859.24,debit,Debt,Debt expense,LKR
SYN-LARGE-00028,syn-user-0031,2025-04-28T08:32:15Z,308592.44,credit,Salary,Salary transaction,LKR
SYN-LARGE-00029,syn-user-0143,2025-12-09T21:15:50Z,14511.13,debit,Travel,Travel expense,LKR
SYN-LARGE-00030,syn-user-0243,2026-02-18T19:22:27Z,5423.27,debit,Food,Food expense,LKR
SYN-LARGE-00031,syn-user-0211,2025-08-28T09:03:25Z,49648.13,debit,Housing,Housing expense,LKR
SYN-LARGE-00032,syn-user-0174,2026-02-14T20:08:27Z,3754.22,debit,Utilities,Utilities expense,LKR
SYN-LARGE-00033,syn-user-0094,2025-05-23T09:03:41Z,14078.27,debit,Food,Food expense,LKR
SYN-LARGE-00034,syn-user-0277,2026-03-05T13:10:26Z,328278.26,credit,Salary,Salary transaction,LKR
SYN-LARGE-00035,syn-user-0249,2025-09-04T11:24:00Z,27170.84,credit,Investment Income,Investment Income transaction,LKR
SYN-LARGE-00036,syn-user-0200,2025-05-16T21:09:12Z,12124.72,debit,Education,Education expense,LKR
